legacy_path	area	page_name	page_title	purpose_hint	user_type	permission_keys	scope_evidence	tables	forms	actions	statuses	attachments	print_pdf	linked_php	ajax	public_token_candidate	reachability	activity	evidence
Arabic.PHP	root	Arabic.PHP		Arabic.PHP	authenticated/unknown			arabic,loaded,one,the		send		no	no		no	review	unresolved	unknown	
B_pdf.php	root	B_pdf		B pdf	authenticated/unknown		branch	branches,briefing,briefing_view,ra_users		send	0,1,2,3	no	yes	header.inc.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf
Briefing.php	root	Briefing	HH	Briefing	authenticated/unknown			briefing	/Briefing.php?id=	create,update,send	1	yes	no	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php,clientContract.php,clientVacations.php,sms_class.php,Shortener.class.php,OpensslEncryptDecrypt.php,PHPMailer.php,SMTP.php,Exception.php,GovernmentـreportsAnswer.php,Government_mas.php,Briefing.php,G_answerNN.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; file handling/ref
BriefingـNotice.php	root	BriefingـNotice	خدمة إجازة منصة صحة	Briefing Notice	authenticated/unknown		branch	branches,briefing,briefing_view,department_sender_email,g_data	/BriefingـNotice.php	create,update,delete,send	0,3,2,1,4,5,6,7,8,9	yes	yes	header.inc.php,sms_class.php,Shortener.class.php,OpensslEncryptDecrypt.php,PHPMailer.php,SMTP.php,Exception.php,BriefingـNotice.php,B_pdf.php,BriefingـNoticeـpdf.php,G_answerNN.php,fliter_reportss.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
BriefingـNotices.php	root	BriefingـNotices	خدمة إجازة منصة صحة	Briefing Notices	authenticated/unknown		branch	branches,briefing,briefing_view,department_sender_email,g_data	BriefingـNotices.php,<?php echo $pagename; ?>	create,update,delete,send	0,3,2,1,4,5,6,7,8,9	yes	yes	header.inc.php,sms_class.php,Shortener.class.php,OpensslEncryptDecrypt.php,BriefingـNotices.php,B_pdf.php,BriefingـNoticeـpdf.php,G_answerNN.php,fliter_reportss.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
BriefingـNoticeـForm.php	root	BriefingـNoticeـForm	HH	Briefing Notice Form	authenticated/unknown			briefing	/BriefingـNoticeـForm.php	create,send		yes	no	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php,clientContract.php,clientVacations.php,sms_class.php,Shortener.class.php,OpensslEncryptDecrypt.php,PHPMailer.php,SMTP.php,Exception.php,GovernmentـreportsAnswer.php,Government_mas.php,BriefingـNoticeـForm.php,G_answerNN.php	no	no	outbound-linked	unknown	session/header guard; form; file handling/ref
BriefingـNoticeـpdf.php	root	BriefingـNoticeـpdf		Briefing Notice pdf	authenticated/unknown		branch	bottom,briefing,companies_groups,html		update		yes	yes	autoload.php,hr_session.php,config.php,functions.php,common.php,G.php,Government_reportss_pdf.php,tcpdf_include.php,tcpdf_config_alt.php,tcpdf.php	yes	review	outbound-linked	unknown	ajax; print/pdf; file handling/ref
G.php	root	G	الختم الرسمي	G	authenticated/unknown		branch	companies_groups,g_data,g_filesmail,g_requestdelivry,g_sections,g_sectionsub,g_view,government_circulars_sections,html,ra_users		update,send	2	no	yes	autoload.php,hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,G.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf
G_answerN.php	root	G_answerN	الختم الرسمي	G answerN	authenticated/unknown		branch	companies_groups,g_data,g_requestdelivry,g_sections,g_sectionsub,g_view,government_circulars_sections,html,ra_users		update,send	2,1	yes	yes	autoload.php,hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,G.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
G_answerNN.php	root	G_answerNN	الختم الرسمي	G answerNN	authenticated/unknown		branch	companies_groups,g_data,g_requestdelivry,g_sections,g_sectionsub,g_view,government_circulars_sections,html,ra_users		update,send	1,2	yes	yes	autoload.php,hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,G.php,Government_reportss_pdf.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
